Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Trial_31,Trial_32,Trial_33,Trial_34,Trial_35,Trial_36,Trial_37,Trial_38,Trial_39,Trial_40,Trial_41,Trial_42,Trial_43,Trial_44,Trial_45,Trial_46,Trial_47,Trial_48,Trial_49,Trial_50,Trial_51,Trial_52,Trial_53,Trial_54,Trial_55,Trial_56,Trial_57,Trial_58,Trial_59,Trial_60,Trial_61,Trial_62,Trial_63,Trial_64,Trial_65,Trial_66,Trial_67,Trial_68,Trial_69,Trial_70,Trial_71,Trial_72,Trial_73,Trial_74,Trial_75,Trial_76,Trial_77,Trial_78,Trial_79,Trial_80,Trial_81,Trial_82,Trial_83,Trial_84,Trial_85,Trial_86,Trial_87,Trial_88,Trial_89,Trial_90,Trial_91,Trial_92,Trial_93,Trial_94,Trial_95,Trial_96,Trial_97,Trial_98,Trial_99,Trial_100
4, , , ,8,0, ,8,2,4, , ,4, ,8,0, , ,4,6,10, , ,2, ,2,2,0,2,8, , , , , ,6, ,6,6, ,0,2, ,8,6, ,2, , ,8,6, ,8, ,4,8,4,2,6, ,2, ,4,6, ,4,2,0,4,10,6,6, ,4,0, ,6,4, , , , ,4, ,6, ,0,0,2,2, , , ,6,6,4,4,8,10,2
5, , , ,9, , ,7,1,5, , ,3, ,7, , , ,3,5, , , ,3, ,3,3, ,3,7, , , , , ,7, ,7,5, , ,1, ,7,7, ,1, , ,7,7, ,9, ,5,9,3,3,5, ,3, ,3,5, ,3,3, ,5, ,5,5, ,3, , ,7,3, , , , ,5, ,5, , , ,1,1, , , ,7,7,3,3,9, ,3
6, , , ,8, , ,6,2,4, , ,4, ,8, , , ,2,6, , , ,2, ,4,4, ,4,6, , , , , ,6, ,6,6, , ,2, ,6,6, ,2, , ,6,6, ,10, ,4,10,2,2,4, ,2, ,4,4, ,2,4, ,4, ,6,4, ,2, , ,8,2, , , , ,4, ,4, , , ,0,0, , , ,6,6,4,2,10, ,2
5, , , ,9, , ,5,1,3, , ,3, ,7, , , ,1,5, , , ,1, ,3,3, ,5,5, , , , , ,5, ,7,5, , ,1, ,5,5, ,1, , ,5,5, , , ,5, ,3,1,5, ,3, ,3,3, ,3,5, ,5, ,5,5, ,1, , ,7,3, , , , ,3, ,5, , , , , , , , ,7,7,3,3, , ,1
6, , , ,10, , ,4,2,2, , ,4, ,6, , , ,0,6, , , ,0, ,2,4, ,4,4, , , , , ,6, ,6,6, , ,0, ,4,4, ,2, , ,4,4, , , ,4, ,2,0,6, ,4, ,2,2, ,2,6, ,6, ,4,6, ,2, , ,6,2, , , , ,2, ,6, , , , , , , , ,6,6,4,2, , ,2
5, , , , , , ,5,1,1, , ,5, ,5, , , , ,5, , , , , ,1,3, ,3,3, , , , , ,5, ,5,5, , , , ,5,5, ,1, , ,3,3, , , ,5, ,1, ,5, ,5, ,3,3, ,1,7, ,5, ,3,5, ,1, , ,7,1, , , , ,1, ,5, , , , , , , , ,7,7,5,1, , ,1
4, , , , , , ,4,0,2, , ,6, ,4, , , , ,4, , , , , ,2,4, ,2,2, , , , , ,4, ,4,6, , , , ,4,4, ,2, , ,4,4, , , ,6, ,2, ,4, ,6, ,2,2, ,2,6, ,6, ,4,4, ,0, , ,6,0, , , , ,0, ,6, , , , , , , , ,8,6,6,2, , ,0
5, , , , , , ,3, ,1, , ,7, ,3, , , , ,3, , , , , ,1,5, ,3,3, , , , , ,5, ,5,5, , , , ,3,5, ,3, , ,5,3, , , ,5, ,1, ,5, ,5, ,3,1, ,3,7, ,7, ,3,3, , , , ,7, , , , , , , ,7, , , , , , , , ,7,7,5,3, , , 
4, , , , , , ,2, ,0, , ,8, ,2, , , , ,2, , , , , ,0,4, ,2,2, , , , , ,6, ,6,6, , , , ,2,6, ,2, , ,6,2, , , ,6, ,2, ,4, ,6, ,4,0, ,2,8, ,8, ,4,2, , , , ,6, , , , , , , ,8, , , , , , , , ,6,8,6,4, , , 
5, , , , , , ,3, , , , ,7, ,3, , , , ,1, , , , , , ,5, ,1,1, , , , , ,5, ,7,5, , , , ,1,7, ,1, , ,5,3, , , ,7, ,3, ,5, ,7, ,5, , ,1,9, ,7, ,3,3, , , , ,5, , , , , , , ,7, , , , , , , , ,5,7,7,3, , , 
4, , , , , , ,4, , , , ,6, ,4, , , , ,2, , , , , , ,6, ,2,0, , , , , ,6, ,8,6, , , , ,0,6, ,2, , ,4,4, , , ,8, ,2, ,4, ,6, ,4, , ,2,8, ,6, ,4,4, , , , ,4, , , , , , , ,8, , , , , , , , ,4,6,6,2, , , 
5, , , , , , ,3, , , , ,7, ,5, , , , ,3, , , , , , ,7, ,3, , , , , , ,5, ,7,5, , , , , ,5, ,1, , ,5,5, , , ,9, ,1, ,5, ,5, ,3, , ,3,9, ,7, ,5,5, , , , ,5, , , , , , , ,9, , , , , , , , ,5,7,5,1, , , 
4, , , , , , ,4, , , , ,6, ,6, , , , ,2, , , , , , ,6, ,2, , , , , , ,4, ,6,4, , , , , ,6, ,2, , ,4,4, , , ,8, ,2, ,4, ,6, ,2, , ,4,10, ,6, ,4,4, , , , ,4, , , , , , , ,8, , , , , , , , ,4,8,6,2, , , 
3, , , , , , ,3, , , , ,7, ,7, , , , ,1, , , , , , ,5, ,3, , , , , , ,3, ,5,5, , , , , ,7, ,1, , ,3,5, , , ,7, ,3, ,3, ,5, ,3, , ,3, , ,5, ,3,3, , , , ,5, , , , , , , ,7, , , , , , , , ,3,7,7,1, , , 
4, , , , , , ,4, , , , ,8, ,8, , , , ,2, , , , , , ,4, ,4, , , , , , ,4, ,6,6, , , , , ,6, ,2, , ,2,6, , , ,8, ,2, ,4, ,4, ,2, , ,4, , ,4, ,4,4, , , , ,6, , , , , , , ,6, , , , , , , , ,4,6,6,0, , , 
3, , , , , , ,3, , , , ,7, ,9, , , , ,3, , , , , , ,5, ,3, , , , , , ,3, ,7,5, , , , , ,7, ,3, , ,3,5, , , ,7, ,3, ,5, ,3, ,1, , ,3, , ,5, ,3,3, , , , ,7, , , , , , , ,7, , , , , , , , ,5,5,5, , , , 
2, , , , , , ,2, , , , ,6, ,8, , , , ,2, , , , , , ,4, ,2, , , , , , ,4, ,6,4, , , , , ,6, ,4, , ,4,6, , , ,8, ,2, ,4, ,4, ,2, , ,2, , ,6, ,4,4, , , , ,8, , , , , , , ,6, , , , , , , , ,6,4,6, , , , 
1, , , , , , ,3, , , , ,7, ,7, , , , ,1, , , , , , ,3, ,3, , , , , , ,5, ,5,3, , , , , ,5, ,3, , ,3,5, , , ,9, ,1, ,5, ,3, ,1, , ,3, , ,5, ,3,3, , , , ,7, , , , , , , ,7, , , , , , , , ,5,5,7, , , , 
2, , , , , , ,2, , , , ,8, ,8, , , , ,2, , , , , , ,2, ,2, , , , , , ,6, ,4,4, , , , , ,4, ,4, , ,4,6, , , ,10, ,0, ,6, ,4, ,0, , ,2, , ,4, ,4,2, , , , ,6, , , , , , , ,8, , , , , , , , ,6,4,8, , , , 
3, , , , , , ,3, , , , ,7, ,9, , , , ,1, , , , , , ,1, ,1, , , , , , ,7, ,3,5, , , , , ,5, ,3, , ,3,5, , , , , , , ,5, ,3, , , , ,3, , ,3, ,3,3, , , , ,5, , , , , , , ,9, , , , , , , , ,7,5,7, , , , 
4, , , , , , ,2, , , , ,6, ,8, , , , ,2, , , , , , ,0, ,0, , , , , , ,6, ,2,6, , , , , ,6, ,2, , ,4,4, , , , , , , ,6, ,2, , , , ,2, , ,4, ,2,2, , , , ,6, , , , , , , ,10, , , , , , , , ,6,6,6, , , , 
5, , , , , , ,1, , , , ,7, ,7, , , , ,3, , , , , , , , , , , , , , , ,7, ,3,5, , , , , ,5, ,1, , ,3,3, , , , , , , ,7, ,3, , , , ,3, , ,3, ,3,3, , , , ,7, , , , , , , , , , , , , , , , ,5,5,5, , , , 
4, , , , , , ,0, , , , ,6, ,6, , , , ,2, , , , , , , , , , , , , , , ,6, ,2,4, , , , , ,6, ,0, , ,4,4, , , , , , , ,8, ,2, , , , ,2, , ,2, ,4,4, , , , ,8, , , , , , , , , , , , , , , , ,4,4,4, , , , 
5, , , , , , , , , , , ,7, ,5, , , , ,3, , , , , , , , , , , , , , , ,7, ,1,5, , , , , ,7, , , , ,3,5, , , , , , , ,9, ,3, , , , ,3, , ,1, ,5,3, , , , ,9, , , , , , , , , , , , , , , , ,5,5,5, , , , 
6, , , , , , , , , , , ,6, ,4, , , , ,2, , , , , , , , , , , , , , , ,8, ,2,6, , , , , ,6, , , , ,2,4, , , , , , , ,8, ,2, , , , ,2, , ,0, ,6,2, , , , ,10, , , , , , , , , , , , , , , , ,6,4,6, , , , 
7, , , , , , , , , , , ,5, ,5, , , , ,3, , , , , , , , , , , , , , , ,7, ,1,5, , , , , ,7, , , , ,1,3, , , , , , , ,9, ,3, , , , ,3, , , , ,5,3, , , , , , , , , , , , , , , , , , , , , ,7,5,7, , , , 
6, , , , , , , , , , , ,4, ,6, , , , ,2, , , , , , , , , , , , , , , ,8, ,2,4, , , , , ,6, , , , ,2,4, , , , , , , ,10, ,4, , , , ,4, , , , ,6,2, , , , , , , , , , , , , , , , , , , , , ,6,6,6, , , , 
5, , , , , , , , , , , ,3, ,7, , , , ,3, , , , , , , , , , , , , , , ,7, ,3,3, , , , , ,7, , , , ,1,3, , , , , , , , , ,3, , , , ,3, , , , ,7,3, , , , , , , , , , , , , , , , , , , , , ,5,7,5, , , , 
6, , , , , , , , , , , ,4, ,6, , , , ,4, , , , , , , , , , , , , , , ,6, ,4,2, , , , , ,8, , , , ,0,2, , , , , , , , , ,2, , , , ,4, , , , ,6,2, , , , , , , , , , , , , , , , , , , , , ,4,6,4, , , , 
5, , , , , , , , , , , ,5, ,7, , , , ,3, , , , , , , , , , , , , , , ,5, ,3,1, , , , , ,7, , , , , ,3, , , , , , , , , ,3, , , , ,5, , , , ,7,3, , , , , , , , , , , , , , , , , , , , , ,5,7,5, , , , 
4, , , , , , , , , , , ,4, ,6, , , , ,2, , , , , , , , , , , , , , , ,6, ,2,2, , , , , ,6, , , , , ,4, , , , , , , , , ,4, , , , ,6, , , , ,6,4, , , , , , , , , , , , , , , , , , , , , ,4,6,4, , , , 
5, , , , , , , , , , , ,3, ,7, , , , ,3, , , , , , , , , , , , , , , ,5, ,1,3, , , , , ,5, , , , , ,3, , , , , , , , , ,3, , , , ,5, , , , ,5,5, , , , , , , , , , , , , , , , , , , , , ,3,5,5, , , , 
4, , , , , , , , , , , ,2, ,6, , , , ,2, , , , , , , , , , , , , , , ,4, ,0,2, , , , , ,4, , , , , ,2, , , , , , , , , ,2, , , , ,4, , , , ,4,6, , , , , , , , , , , , , , , , , , , , , ,4,6,6, , , , 
5, , , , , , , , , , , ,3, ,5, , , , ,1, , , , , , , , , , , , , , , ,5, , ,1, , , , , ,5, , , , , ,1, , , , , , , , , ,3, , , , ,3, , , , ,3,7, , , , , , , , , , , , , , , , , , , , , ,3,5,5, , , , 
6, , , , , , , , , , , ,2, ,4, , , , ,2, , , , , , , , , , , , , , , ,4, , ,2, , , , , ,4, , , , , ,2, , , , , , , , , ,2, , , , ,2, , , , ,4,8, , , , , , , , , , , , , , , , , , , , , ,2,4,4, , , , 
7, , , , , , , , , , , ,3, ,5, , , , ,3, , , , , , , , , , , , , , , ,5, , ,1, , , , , ,3, , , , , ,1, , , , , , , , , ,3, , , , ,1, , , , ,3,9, , , , , , , , , , , , , , , , , , , , , ,1,3,5, , , , 
6, , , , , , , , , , , ,4, ,4, , , , ,2, , , , , , , , , , , , , , , ,6, , ,2, , , , , ,4, , , , , ,2, , , , , , , , , ,2, , , , ,2, , , , ,4,10, , , , , , , , , , , , , , , , , , , , , ,2,2,4, , , , 
5, , , , , , , , , , , ,3, ,3, , , , ,1, , , , , , , , , , , , , , , ,5, , ,3, , , , , ,5, , , , , ,1, , , , , , , , , ,3, , , , ,1, , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,3,1,3, , , , 
6, , , , , , , , , , , ,4, ,4, , , , ,0, , , , , , , , , , , , , , , ,4, , ,4, , , , , ,4, , , , , ,0, , , , , , , , , ,2, , , , ,2, , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,4,0,2, , , , 
7, , , , , , , , , , , ,5, ,3, , , , , , , , , , , , , , , , , , , , ,3, , ,3, , , , , ,3, , , , , , , , , , , , , , , ,1, , , , ,3, , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,3, ,3, , , , 
8, , , , , , , , , , , ,6, ,4, , , , , , , , , , , , , , , , , , , , ,4, , ,2, , , , , ,2, , , , , , , , , , , , , , , ,2, , , , ,4, , , , ,4, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , 
7, , , , , , , , , , , ,5, ,3, , , , , , , , , , , , , , , , , , , , ,5, , ,3, , , , , ,1, , , , , , , , , , , , , , , ,1, , , , ,5, , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , 
8, , , , , , , , , , , ,4, ,2, , , , , , , , , , , , , , , , , , , , ,4, , ,2, , , , , ,2, , , , , , , , , , , , , , , ,0, , , , ,6, , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , 
9, , , , , , , , , , , ,3, ,1, , , , , , , , , , , , , , , , , , , , ,3, , ,3, , , , , ,3, , , , , , , , , , , , , , , , , , , , ,7, , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , 
8, , , , , , , , , , , ,2, ,0, , , , , , , , , , , , , , , , , , , , ,2, , ,2, , , , , ,4, , , , , , , , , , , , , , , , , , , , ,8, , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,0, ,0, , , , 
7, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,1, , ,3, , , , , ,3, , , , , , , , , , , , , , , , , , , , ,7, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , ,0, , ,2, , , , , ,2, , , , , , , , , , , , , , , , , , , , ,6, , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , ,2, , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3, , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,3, , , , , , , , , , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , ,4, , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,5, , , , , , , , , , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , ,4, , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,3, , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , ,4, , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
